Method Name;CCM;CND;CDISP;CINT;FDP;HD;HEF;HER;HL;HVC;HVL;LOC;LAA;LND;MMI;MND;CC;NOAV;NOL;NOPM
com.example.examplefeature.Task.setDueDate(LocalDate);0;0;0,0;0;0;1,5;17,4145;0,0022;5;5;11,6096;3;1,0;0;82,3002;0;1;2;0;1
com.example.examplefeature.TaskRepository.findAllBy(Pageable);0;0;0,0;0;0;0,0;NaN;NaN;0;0;NaN;0;0,0;0;0,0;N/A;1;N/A;0;1
com.example.examplefeature.TaskService.TaskService(TaskRepository);0;0;0,0;0;0;0,5;2,3774;0,0006;3;3;4,7549;3;1,0;0;85,3765;0;1;2;0;1
com.example.examplefeature.TaskService.createTask(String, LocalDate);1;1;1,0;4;1;6,6667;506,6667;0,0212;19;16;76,0;9;0,5;0;65,9215;1;2;4;0;2
com.example.examplefeature.TaskService.list(Pageable);0;0;1,0;2;0;2,0;39,303;0,0039;7;7;19,6515;4;1,0;0;77,9128;0;1;2;0;1
com.example.examplefeature.ui.TaskListView.TaskListView(TaskService);0;0;0,6897;28;8;27,4286;15229,6516;0,2048;94;60;555,2477;28;0,3333;0;49,2162;0;1;19;0;1
com.example.examplefeature.ui.TaskListView.createTask();0;0;1,0;8;2;6,25;547,3027;0,0223;21;18;87,5684;8;0,6667;0;66,7195;0;1;6;0;0
com.example.feature_conversaoDeMoeda.CurrencyView.CurrencyView();3;1;0,5;13;2;17,94;7213,9844;0,1245;72;48;402,1173;27;0,0;0;50,325;2;5;12;0;0
com.example.feature_conversaoDeMoeda.CurrencyView.convertCurrency(String, String, double);3;1;0,5714;14;1;16,2353;5097,781;0,0987;59;40;313,9938;27;0,5;0;51,116;2;4;11;0;3
com.example.pdf.PdfGenerator.generateSimplePdf(String, String);1;0;0,6;5;3;10,5;2170,5207;0,0559;43;28;206,7163;25;0,0;0;53,2104;1;2;11;0;2
com.example.pdf.PdfView.PdfView();1;0;0,7778;9;1;8,8235;1852,9412;0,0503;42;32;210,0;22;0,0;0;54,363;2;2;7;0;0
com.example.qrcode.QRCodeGenerator.generateQRCodeImage(String, int, int);0;0;1,0;3;1;6,1875;578,2491;0,0231;22;19;93,4544;16;0,0;0;59,95;1;1;7;0;3
com.example.qrcode.QRCodeGenerator.saveToFile(String, int, int, Path);0;0;0,5;1;0;4,0;207,2246;0,0117;14;13;51,8062;8;0,0;0;68,3436;0;1;5;0;4
com.example.qrcode.QrCodeView.QrCodeView();1;0;0,6667;9;1;10,4167;2417,1055;0,06;46;33;232,0421;20;0,0;0;54,963;1;2;8;0;0
